epoch_s,vram_free,vram_total,torch_vram_total,torch_vram_free,ram_free
1788126196,15424822100,17102733312,436207616,64232276,48256892928
1788126197,15424822100,17102733312,436207616,64232276,48274100224
1788126198,15424822100,17102733312,436207616,64232276,48269516800
1788126199,15424822100,17102733312,436207616,64232276,48280604672
1788126200,15424822100,17102733312,436207616,64232276,48280637440
1788126201,15424822100,17102733312,436207616,64232276,48283779072
1788126203,15424822100,17102733312,436207616,64232276,48284708864
1788126204,15424822100,17102733312,436207616,64232276,48267255808
1788126205,15424822100,17102733312,436207616,64232276,48262041600
1788126206,15424822100,17102733312,436207616,64232276,48258052096
1788126207,15424822100,17102733312,436207616,64232276,48260259840
1788126208,15424822100,17102733312,436207616,64232276,48243974144
1788126210,15424822100,17102733312,436207616,64232276,48239169536
1788126211,15424822100,17102733312,436207616,64232276,48249733120
1788126212,15424822100,17102733312,436207616,64232276,48253353984
1788126213,15424822100,17102733312,436207616,64232276,48252915712
1788126214,15424822100,17102733312,436207616,64232276,48256135168
1788126216,15424822100,17102733312,436207616,64232276,48257335296
1788126217,15424822100,17102733312,436207616,64232276,48261926912
1788126218,15424822100,17102733312,436207616,64232276,48260100096
1788126219,15424822100,17102733312,436207616,64232276,48259002368
1788126220,15424822100,17102733312,436207616,64232276,48257548288
1788126221,15424822100,17102733312,436207616,64232276,48256983040
1788126223,15424822100,17102733312,436207616,64232276,48194248704
1788126224,15424822100,17102733312,436207616,64232276,48189513728
1788126225,15424822100,17102733312,436207616,64232276,48144392192
1788126226,15424822100,17102733312,436207616,64232276,48152449024
1788126227,15424822100,17102733312,436207616,64232276,48174665728
1788126229,15424822100,17102733312,436207616,64232276,48190926848
1788126230,15424822100,17102733312,436207616,64232276,48139563008
1788126231,15424822100,17102733312,436207616,64232276,48141733888
1788126232,13845092412,17102733312,436207616,61560892,47006285824
1788126233,7825743936,17102733312,939524096,115564608,41282629632
1788126235,5027772676,17102733312,905969664,69056772,38411272192
1788126236,5027772668,17102733312,905969664,69056764,38422609920
1788126237,5027772676,17102733312,905969664,69056772,38450941952
1788126238,5027772676,17102733312,905969664,69056772,38455386112
1788126239,5027772676,17102733312,905969664,69056772,38447927296
1788126241,5027772676,17102733312,905969664,69056772,38428561408
1788126242,5027772676,17102733312,905969664,69056772,38535991296
1788126243,5027772676,17102733312,905969664,69056772,38456082432
1788126244,5027771388,17102733312,905969664,69055484,38546591744
1788126245,5027762436,17102733312,905969664,69046532,38455627776
1788126247,5027771388,17102733312,905969664,69055484,38544986112
1788126248,5027772676,17102733312,905969664,69056772,38481805312
1788126249,5027771388,17102733312,905969664,69055484,38557044736
1788126250,5027772676,17102733312,905969664,69056772,38478774272
1788126251,5027772676,17102733312,905969664,69056772,38554673152
1788126253,5027772676,17102733312,905969664,69056772,38455836672
1788126254,5027771388,17102733312,905969664,69055484,38557057024
1788126255,5027772676,17102733312,905969664,69056772,38473670656
1788126256,5027771388,17102733312,905969664,69055484,38550032384
1788126257,5027772660,17102733312,905969664,69056756,38473261056
1788126259,7849416956,17102733312,469762048,206346492,37258260480
1788126260,2430082300,17102733312,536870912,292748540,32457846784
1788126261,823248120,17102733312,637534208,476611832,28333309952
1788126262,1009178880,17102733312,637534208,494770432,28286803968
1788126264,1009178880,17102733312,637534208,494770432,28322455552
1788126265,937960696,17102733312,637534208,423552248,28291596288
1788126266,1030214356,17102733312,637534208,515805908,28327239680
1788126267,5811869432,17102733312,268435456,148510456,43270856704
1788126268,17104398164,17102733312,17515413504,17104398164,46584320000
1788126269,17104398164,17102733312,17515413504,17104398164,46570860544
1788126271,15424822100,17102733312,436207616,64232276,47767859200
1788126272,15424822100,17102733312,436207616,64232276,47860723712
1788126273,15424822100,17102733312,436207616,64232276,47919882240
1788126275,15424822100,17102733312,436207616,64232276,47932342272
1788126276,15424822100,17102733312,436207616,64232276,47933616128
1788126277,15424822100,17102733312,436207616,64232276,47951278080
1788126278,15424822100,17102733312,436207616,64232276,47975043072
1788126279,15424822100,17102733312,436207616,64232276,47979294720
1788126280,15424822100,17102733312,436207616,64232276,47976271872
1788126282,15424822100,17102733312,436207616,64232276,47982460928
1788126283,15424822100,17102733312,436207616,64232276,47974879232
1788126284,15424822100,17102733312,436207616,64232276,47973720064
1788126285,15424822100,17102733312,436207616,64232276,47976722432
1788126286,15424822100,17102733312,436207616,64232276,47974715392
1788126287,15424822100,17102733312,436207616,64232276,47977082880
1788126289,15424822100,17102733312,436207616,64232276,47991951360
1788126290,15424822100,17102733312,436207616,64232276,47987445760
1788126291,15424822100,17102733312,436207616,64232276,48006463488
1788126292,15424822100,17102733312,436207616,64232276,48051601408
1788126293,15424822100,17102733312,436207616,64232276,48054636544
1788126294,15424822100,17102733312,436207616,64232276,48053231616
1788126296,15424822100,17102733312,436207616,64232276,48043556864
1788126297,15424822100,17102733312,436207616,64232276,48039960576
1788126298,15424822100,17102733312,436207616,64232276,48038522880
1788126299,15424822100,17102733312,436207616,64232276,47967756288
1788126300,15424822100,17102733312,436207616,64232276,47958368256
1788126302,15424822100,17102733312,436207616,64232276,47982911488
1788126303,15424822100,17102733312,436207616,64232276,48005455872
1788126304,15424822100,17102733312,436207616,64232276,47962083328
1788126305,15424822100,17102733312,436207616,64232276,47986987008
1788126306,15424822100,17102733312,436207616,64232276,47999160320
1788126307,14282627132,17102733312,469762048,96442428,47504556032
1788126309,9150227174,17102733312,939524096,131424998,42427236352
1788126310,5027772676,17102733312,905969664,69056772,38298497024
1788126311,5027772676,17102733312,905969664,69056772,38298849280
1788126312,5027772676,17102733312,905969664,69056772,38289498112
1788126314,5027772660,17102733312,905969664,69056756,38248509440
1788126315,5027772676,17102733312,905969664,69056772,38327418880
1788126316,5027772676,17102733312,905969664,69056772,38279622656
1788126317,5027772660,17102733312,905969664,69056756,38378782720
1788126318,5027772676,17102733312,905969664,69056772,38313988096
1788126320,5027772676,17102733312,905969664,69056772,38382612480
1788126321,5027772676,17102733312,905969664,69056772,38311329792
1788126322,5027772660,17102733312,905969664,69056756,38414331904
1788126323,5027772676,17102733312,905969664,69056772,38337540096
1788126324,5027772676,17102733312,905969664,69056772,38408364032
1788126325,5027772676,17102733312,905969664,69056772,38343090176
1788126327,5027772676,17102733312,905969664,69056772,38417002496
1788126328,5027772676,17102733312,905969664,69056772,38345519104
1788126329,5027772156,17102733312,905969664,69056252,38413766656
1788126330,5027772676,17102733312,905969664,69056772,38331142144
1788126331,5027772676,17102733312,905969664,69056772,38405025792
1788126333,5027772676,17102733312,905969664,69056772,38336106496
1788126334,6165060660,17102733312,167772160,132602932,38166241280
1788126335,3613490428,17102733312,536870912,305548540,33360510976
1788126336,472505596,17102733312,536870912,320908540,28544311296
1788126338,800577792,17102733312,671088640,528324864,28340953088
1788126339,718849272,17102733312,671088640,448496888,28365381632
1788126340,752621824,17102733312,671088640,528324864,28358688768
1788126341,821613268,17102733312,671088640,549360340,28333547520
1788126342,5811869432,17102733312,268435456,148510456,39313555456
1788126344,17104398164,17102733312,17515413504,17104398164,46629191680
1788126345,17104398164,17102733312,17515413504,17104398164,46682591232
