t,status,vram_free,vram_total
0,,8208903664,17102733312
1.2,,7467065081,17102733312
2.2,,7404397816,17102733312
3.2,,7404397816,17102733312
4.2,,7404397816,17102733312
5.2,,7404397816,17102733312
6.3,,7404397816,17102733312
7.3,,7404397816,17102733312
8.3,,7404397816,17102733312
9.3,,7404397816,17102733312
10.3,,7404397816,17102733312
11.3,,7404365808,17102733312
12.3,,7404397816,17102733312
13.3,,7404397816,17102733312
14.3,,7404397816,17102733312
15.4,,7404397816,17102733312
16.4,,7404397816,17102733312
17.4,,7404397816,17102733312
18.4,,7404397816,17102733312
19.4,,7404397816,17102733312
20.4,,7404397816,17102733312
21.4,,7404397816,17102733312
22.4,,7404397816,17102733312
23.4,,7404397816,17102733312
24.5,,7404397816,17102733312
25.5,,7404397816,17102733312
26.5,,7404397816,17102733312
27.5,,7404397816,17102733312
28.5,,7404397816,17102733312
29.5,,7404397816,17102733312
30.5,,7404397816,17102733312
31.5,,7404397816,17102733312
32.5,,7404397816,17102733312
33.6,,7404397816,17102733312
34.6,,7404345328,17102733312
35.6,,7404397816,17102733312
36.6,,7404397816,17102733312
37.6,,7404397816,17102733312
38.6,,7404397816,17102733312
39.6,,7404397816,17102733312
40.6,,7404397816,17102733312
41.6,,7404397816,17102733312
42.7,,7404397816,17102733312
43.7,,7404397816,17102733312
44.7,,7404397816,17102733312
45.7,,7404397816,17102733312
46.7,,7404397816,17102733312
47.7,,7404397816,17102733312
48.7,,7404397816,17102733312
49.8,,7404397816,17102733312
50.8,,7404397816,17102733312
51.8,,7404397816,17102733312
52.8,,7404397816,17102733312
53.8,,7404397816,17102733312
54.8,,7404397816,17102733312
55.8,,7404397816,17102733312
56.9,,7404397816,17102733312
57.9,,7404397816,17102733312
58.9,,7404397816,17102733312
59.9,,7404397816,17102733312
60.9,,7404397816,17102733312
61.9,,7404397816,17102733312
62.9,,7404397816,17102733312
64,,7404397816,17102733312
65,,7404397816,17102733312
66,,7404397816,17102733312
67,,7404397816,17102733312
68,,7404397816,17102733312
69,,7404397816,17102733312
70,,7404386288,17102733312
71,,7404397816,17102733312
72,,7404397816,17102733312
73,,7404397816,17102733312
74.1,,7404397816,17102733312
75.1,,7404397816,17102733312
76.1,,7404397816,17102733312
77.1,,7404397816,17102733312
78.1,,7404397816,17102733312
79.1,,7404397816,17102733312
80.1,,7404397816,17102733312
81.2,,7404397816,17102733312
82.2,,7404397816,17102733312
83.2,,7404397816,17102733312
84.2,,7404397816,17102733312
85.2,,7404397816,17102733312
86.2,,7404397816,17102733312
87.2,,7404397816,17102733312
88.2,,7404397816,17102733312
89.3,,7404397816,17102733312
90.3,,7404397816,17102733312
91.3,,7404397816,17102733312
92.3,,7404397816,17102733312
93.3,,7404397816,17102733312
94.3,,7404397816,17102733312
95.3,,7404397816,17102733312
96.4,,7404397816,17102733312
97.4,,7404397816,17102733312
98.4,,7404397816,17102733312
99.4,,7404397816,17102733312
100.4,,7404397816,17102733312
101.4,,7404397816,17102733312
102.4,,7404397816,17102733312
103.4,,7404397816,17102733312
104.4,,7404397816,17102733312
105.5,,7404397816,17102733312
106.5,,7404397816,17102733312
107.5,,7404397816,17102733312
108.5,,7404397816,17102733312
109.5,,7404397816,17102733312
110.5,,7404397816,17102733312
111.5,,7404397816,17102733312
112.6,,7404397816,17102733312
113.6,,7404397816,17102733312
114.6,,7404397816,17102733312
115.6,,7404397816,17102733312
116.6,,7404397816,17102733312
117.6,,7404397816,17102733312
118.6,,7404397816,17102733312
119.6,,7404397816,17102733312
120.7,,7404397816,17102733312
121.7,,7404397816,17102733312
122.7,,7404397816,17102733312
123.7,,7404397816,17102733312
124.7,,7404397816,17102733312
125.7,,7404397816,17102733312
126.7,,7404397816,17102733312
127.7,,7404397816,17102733312
128.8,,7404397800,17102733312
129.8,,7404397816,17102733312
130.8,,7404397816,17102733312
131.8,,7404397816,17102733312
132.8,,7404397816,17102733312
133.8,,7404397816,17102733312
134.8,,7404397816,17102733312
135.8,,7404397816,17102733312
136.8,,7404397816,17102733312
137.9,,7404397816,17102733312
138.9,,7404397816,17102733312
139.9,,7404397816,17102733312
140.9,,7404397816,17102733312
141.9,,7404397816,17102733312
142.9,,7404397816,17102733312
143.9,,7404345328,17102733312
144.9,,7404397816,17102733312
145.9,,7404397816,17102733312
147,,7404397816,17102733312
148,,7404397816,17102733312
149,,7404397816,17102733312
150.6,,7404397816,17102733312
151.6,,7404396528,17102733312
152.6,,7404397816,17102733312
153.6,,7404396528,17102733312
154.7,,7404397816,17102733312
155.7,,7404369904,17102733312
156.7,,7404397816,17102733312
157.7,,7404351472,17102733312
158.7,,7404397816,17102733312
159.7,,7404397816,17102733312
160.7,,7404397816,17102733312
161.8,,7404397816,17102733312
162.8,,7404397816,17102733312
163.8,,7404397816,17102733312
164.8,,7404397816,17102733312
165.8,,7404397816,17102733312
166.8,,7404397816,17102733312
167.8,,7404397816,17102733312
168.9,,7404397816,17102733312
169.9,,7404397816,17102733312
170.9,,7404397816,17102733312
171.9,,7404397816,17102733312
172.9,,7404397816,17102733312
173.9,,7404397816,17102733312
174.9,,7404333040,17102733312
175.9,,7404397816,17102733312
176.9,,7404397816,17102733312
177.9,,7404397816,17102733312
178.9,,7404397816,17102733312
180,,7404397816,17102733312
181,,7404397816,17102733312
182,,7404397816,17102733312
183,,7404397816,17102733312
184,,7404397816,17102733312
185,,7404397816,17102733312
186,,7404397816,17102733312
187,,7404397816,17102733312
188.1,,7404397816,17102733312
189.1,,7404397816,17102733312
